dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
3,knn,3,uniform,balanced_binary_tasks,0.7803644200626959,0.7859769186773851,0.7747334021327829,0.771814237137468,0.8402512154623203,0.8402512154623203
15,knn,3,uniform,balanced_binary_tasks,0.9585300207039337,0.9464950419950421,0.9336666666666668,0.938696817857578,0.9809749194847021,0.9809749194847021
29,knn,3,uniform,balanced_binary_tasks,0.8246376811594202,0.8358781768564377,0.8461538461538461,0.8326293917239788,0.8668142440468417,0.8668142440468417
31,knn,3,uniform,balanced_binary_tasks,0.7529999999999999,0.6264323084746426,0.4366666666666667,0.512593034698156,0.7277380952380953,0.7277380952380953
37,knn,3,uniform,balanced_binary_tasks,0.7408407382091593,0.6488364465785755,0.5783475783475783,0.6084244593636691,0.7635014245014246,0.7635014245014246
43,knn,3,uniform,balanced_binary_tasks,0.8902452136187872,0.8729071670335189,0.8472345334223788,0.8588660217947753,0.9320220696774204,0.9320220696774204
49,knn,3,uniform,balanced_binary_tasks,0.8350438596491229,0.833776155642482,0.9428315412186379,0.8812544504352532,0.8233657050307903,0.8233657050307903
219,knn,3,uniform,balanced_binary_tasks,0.6942713752061653,0.7478718224935937,0.740593708891352,0.7318548250991354,0.7300874823612742,0.7300874823612742
9910,knn,3,uniform,balanced_binary_tasks,0.75607304964539,0.7647251177163084,0.7944871051869024,0.7791580423124804,0.8087092718693392,0.8087092718693392
9946,knn,3,uniform,balanced_binary_tasks,0.9647869674185465,0.9806271112564019,0.9242424242424244,0.950532530513275,0.9847059025630454,0.9847059025630454
9957,knn,3,uniform,balanced_binary_tasks,0.8273495058400719,0.7268605993597526,0.7998412698412698,0.7583580398021558,0.8775027851720397,0.8775027851720397
9976,knn,3,uniform,balanced_binary_tasks,0.5484615384615384,0.5416871274159994,0.6284615384615384,0.5814474649119947,0.5604585798816568,0.5604585798816568
10093,knn,3,uniform,balanced_binary_tasks,0.9985401459854014,0.9967741935483871,1.0,0.9983739837398374,0.9986842105263157,0.9986842105263157
14952,knn,3,uniform,balanced_binary_tasks,0.9474361974585357,0.9451255292232622,0.9616637630662022,0.9532861140200067,0.9785653275667301,0.9785653275667301
3021,knn,3,uniform,disbalanced_binary_tasks,0.9639481846378398,0.845739750445633,0.5106884057971014,0.6229799871194137,0.8713207778769563,0.8713207778769563
3902,knn,3,uniform,disbalanced_binary_tasks,0.8902739726027397,0.5725262237762239,0.426797385620915,0.4851085225541406,0.825140420751634,0.825140420751634
3903,knn,3,uniform,disbalanced_binary_tasks,0.8790952147640047,0.37029304029304033,0.21875,0.2724207346876013,0.7169433890577508,0.7169433890577508
3904,knn,3,uniform,disbalanced_binary_tasks,0.7405641474909523,0.310774590143126,0.277309862333559,0.2923449374060015,0.5922309572090296,0.5922309572090296
3913,knn,3,uniform,disbalanced_binary_tasks,0.802467343976778,0.5700505050505049,0.4763636363636364,0.4881663866039288,0.7370158906134516,0.7370158906134516
3917,knn,3,uniform,disbalanced_binary_tasks,0.7643601895734596,0.26363347474968857,0.2761363636363637,0.2632829350742642,0.6058015758774108,0.6058015758774108
3918,knn,3,uniform,disbalanced_binary_tasks,0.9098607698607699,0.3987301587301587,0.22142857142857145,0.2679081702611114,0.6944554838365519,0.6944554838365519
7592,knn,3,uniform,disbalanced_binary_tasks,0.8233488666856118,0.8739167433363892,0.8972684270992847,0.8854232903509555,0.8253159977480328,0.8253159977480328
